GeneListSamples
APRT
TXN
UFSP1
PDGFC
MIR92B
ATG4A
COX5A
HLA-F
FAM65C
DEPDC1-AS1
MED14OS
SRRM4
FAM150B
LA16c-OS12.2
C1R
CNIH2
SNRPB
SRSF3
SYT12
UBR5-AS1
POMP
IFFO2
DPP4
PTGER2
PRMT8
NDUFA4
SNRPD1
ATP10D
ACSL1
KLHL29
EPHX4
INHBA
DTX4
ACOX2
PPA1
PLEKHA7
RAN
SOX21
RP11-481J13.1
C1QBP
C2CD4D
LCTL
KIRREL
PSMA7
GPNMB
ATP5J
HSP90AA1
FGF18
CRISPLD2
PRELID3A
PSMB1
LAMA4
ANKRD18A
CBR1
PSMB6
SCARF2
NPAS2
TTYH2
AURKAIP1
RP11-531A24.5
MARCKSL1
HMCN2
TOMM7
SRP9
PRELID1
MAFA
PRDX6
NOS1
TUBA1B
MGAT5B
IL20RA
LSM7
ATP5L
AF131216.1
TMA7
C2CD2L
PRDX1
RP11-297N6.4
CCDC78
H3F3A
ATP5G3
MORC4
ACTB
YBX1
PFN1
SNTA1
TNS2
RP11-809O17.1
ST3GAL3
MBNL3
BBOF1
TMC4
TAF1A-AS1
MANEA-AS1
LMO2
SLC25A45
CTD-2334D19.1
SLC9B1
CCDC30
PDGFRB
CLDN19
RP11-437B10.1
SPEF2
LIMCH1
RP5-984P4.6
ZC3HAV1L
GIPC3
FHAD1
TSIX
CFAP65
IL11
C22orf42
RBM24
RP11-54O7.1
RP5-864K19.4
AZIN2
AP000344.3
ATP6AP1L
MVP
AC068831.10
FBXO6
B3GNT4
ARMC4
PCAT14
APCDD1L
RP1-137H15.2
KIF19
TRADD
ZMYND10
CTD-2540F13.2
ADAMTSL5
CCDC63
TRPM2
LINC00159
FLJ35934
KCNK13
CFAP53
PARK2
WDR66
ATOH8
ANKRD33
BCKDHA
LINC01467
SP6
PXDC1
C8orf49
RBM20
CTC-308K20.1
TMTC2
FXYD2
CDKL3
MYO18B
TRPC6
MYL7
RP11-879F14.1
NRP1
LINC01473
MAFF
CRX
RP3-466P17.2
RP5-1021I20.1
LEPR
AF127936.9
AC068831.16
PLXNA4
TBX19
CYB561D2.1
HAS1
C10orf10
STXBP5-AS1
RP11-582J16.4
PAX2
IL18R1
HIF1A-AS2
UNC13C
AC009264.1
RASSF6
PSKH2
GABBR2
COLEC11
HAS2-AS1
SDR16C5
TNC
SEMA6D
GDF10
RP11-195F19.9
MYF6
TSPEAR
C1QTNF6
SPATA9
CKM
UPK1B
FILIP1L
CTD-2562J17.4
BDKRB1
FAXDC2
BCL2L14
CTD-2313J23.1
RP11-727F15.9
CCDC191
CACNG3
ADAM12
RGAG4
SH3D21
NEUROG1
AC005477.1
ARHGEF15
RUNX1
FBXL14
DENND6B
RP11-609N14.1
ZBTB7C
C20orf203
AZU1
CTCFL
DIRC3
FAM167A
DARS-AS1
C3
RP11-277P12.20
RP1-40E16.9
TGFA
ZNF436
SPATA17
DRC3
SLC7A14
NR2F2
ZNF467
RP11-586D19.2
ATP8B1
AC005152.3
UBE2QL1
TDRD6
PKNOX2
LINC00092
STK32A
PCDH9
DNAH9
FBLN7
HP
TEPP
GABRA2
MYH15
FAM85B
CSF3R
LINC00882
RP11-167J8.3
CA3
LINC01198
TLE6
SOAT1
RP11-563J2.2
LINC01170
GREM2
RP11-378A13.2
CECR5-AS1
RP11-402P6.15
HAND2
HOXA1
TEF
ST8SIA4
RP11-496I9.1
ZNF396
SLIT3
CCDC60
TMEM74B
ANGPT4
IL33
PROX1
BCAS1
RP1-90J20.8
GIMAP4
LINC01152
MAN1A1
OSMR
RP11-88E10.5
INHBB
LINC01571
HOTAIRM1
SRD5A2
RP11-404F10.2
ADAMTS9-AS2
ZBBX
RP1-90G24.6
ITGB2
GATA3-AS1
LYPD2
HRC
TBC1D9
PDE4C
EFCAB1
FAM19A2
DNAH12
AC079354.3
FAM228B
MEIS1-AS2
PPIL6
RP11-245G13.2
SPAG6
RP5-894D12.5
PPP1R3C
RP11-9G1.3
ADAMTS15
AC007277.3
PCDH19
WASIR1
C19orf67
ACPP
C9orf47
RP11-414H17.5
SPATA16
SLN
C10orf107
INHA
STK31
RIPPLY1
ITGA9
KCNK17
VWA2
GREB1L
MAOA
UNC5C
RAC2
BMP3
IL1RAPL1
TTN
CLIC3
SFTA1P
RP11-360K13.1
GRIK2
HOXD1
RASGRP3
RP11-454P21.1
KEL
FADS6
FAM122C
Mar-11
LIX1
BNIP3
DLX2
CYP24A1
SHISA6
TISP43
ADAMTS18
Dec-01
RP11-815M8.1
HLX
PTGDS
ADRB2
C8orf4
RP5-884G6.2
NME8
RGS7
AP001065.15
FAM167A-AS1
PDZRN4
RP11-90D4.3
KB-68A7.2
CPQ
PSAPL1
SAMD5
KCNF1
TGFBR3
PRSS22
LINC00379
RP1-90G24.11
RP11-788H18.1
BMP5
DSCAML1
RGS6
GUCY2D
CCDC141
TACR1
DNAH5
ABCC12
RP11-803B1.8
RP11-753H16.3
HS3ST1
RP11-191L9.4
FAM205C
ADAMTS9
RP11-400N13.2
LRRC3-AS1
CDX1
CTD-2007L18.5
TWIST1
SLC30A4
MYCT1
RP11-405K6.1
EVX1-AS
AC078883.3
DYNC1I1
WNT3A
NDRG1
NCR1
SLC46A3
RNF152
MID2
RP11-164N3.1
FOXA1
CHP2
COX4I2
BMP2
KCNA5
FENDRR
RP11-54H7.4
RP4-569M23.2
KLK6
ADGRG3
KLF5
LINC00276
TNFRSF9
RP11-342D14.1
CYP1B1-AS1
DACH1
CTD-2378E21.1
KCNJ2
LGR5
AC005276.1
RSPH9
BRDT
LIX1L
RASGRP1
EGFLAM
PPFIA4
DEFB1
MYOF
MSMB
LINC01098
SLCO2A1
AC141928.1
TRPV4
RP11-527D7.1
TBR1
ISLR
ESRRG
GPR151
GLIS1
CHRD
SLC9C1
KLRD1
FOLR1
MEIS1
SST
RP11-384F7.1
CST4
IL1RL1
KIAA1462
CTA-363E6.6
GMPR
OVCH2
ARHGAP40
P3H2-AS1
KIAA0895
PRDM9
AC068492.1
CLVS2
ST6GALNAC2
RP11-538I12.3
PRAME
ALOXE3
HOXB3
RP11-281P23.2
WNT4
GPR39
PLCXD3
PRKG1-AS1
TCEA3
VWF
CLDN18
BHLHE22
GLIS3-AS1
LINC00544
SIX1
LINC00458
CST2
CST5
NTN4
LINC01356
TTC29
LEF1
CDH10
TNFRSF19
ZNF503-AS2
ICAM1
CALCR
RP11-219G17.4
IRX5
APOA2
PDZK1
MNX1
MEIS2
AC114803.3
F10
SNAI2
ATP8B3
RP11-125O18.1
HOPX
MESP1
RP11-298D21.1
NR0B1
ERBB4
MSX2
ITGA8
PLAGL1
MYF5
FOXC2
BGN
RP11-598D14.1
ZEB2
THBD
PRDM1
GRAP2
NOV
MEG3
TRH
TNS4
RP11-449P1.1
ST8SIA6-AS1
CDX2
RP11-244E17.1
AC140542.2
CTSF
KCNJ5
DIO3OS
CYP26A1
DRC7
MYO3B
FSHR
ZNF503
ISL1
DSCAM
RP11-431J24.2
CRHBP
DEFA6
RP4-797C5.2
GZMM
S100Z
RP11-429A20.4
EOMES
RP11-805J14.5
ANPEP
SEZ6L
HAND1
RP11-218I7.2
RP11-114G22.1
SLC5A9
GAD1
EVX1
RXRG
EGFLAM-AS4
CCNO
PLXNA2
C1orf64
RP1-170O19.17
P3H2
SLC16A3
TBX3
FLRT3
LINC00261
SAMD3
IRX3
GATA6
LHX1
APLNR
SP5
GATA6-AS1
PRSS2
RSPO3
FGF17
DKK1
PLSCR2
SOX17
DKK4
